linear,linear_error,circular,circular_error,frequency,filename,snr,rm,rm_left,rm_right
75.83,2.85,25.97,2.34,842.22,burst10,44.08,-603.61,5.08,-5.08
74.99,2.73,-20.86,2.23,843.94,burst16,45.81,-701.8,6.69,-6.69
75.8,2.94,-6.02,2.35,835.82,burst21,42.61,-679.66,5.37,-5.32
88.32,1.36,-4.64,1.02,839.16,burst26,98.23,-619.67,3.4,-3.49
81.1,3.04,-10.28,2.38,820.05,burst28,42.32,-639.66,4.01,-3.97
83.33,2.27,-16.33,1.77,849.73,burst29,57.36,-701.75,4.28,-4.37
79.77,3.4,4.8,2.66,840.24,burst2,37.57,-661.71,5.21,-5.21
77.85,2.46,-2.07,1.95,831.87,burst30,51.41,-681.73,4.19,-4.19
82.19,2.5,-14.84,1.95,843.62,burst33,51.76,-673.64,4.46,-4.41
