MJD,DM,DM_Error
59351.5021431330,1216.73,0.32
59351.5110725938,1214.51,0.53
59351.5168879906,1214.22,0.3
59351.4750170033,1218.5,0.55
59351.5315930086,1190.7,0.57
59351.5315930086,1190.7,0.57
59360.4955229562,1207.59,0.85
59384.6029173974,1202.99,0.4
59384.6169621390,1219.24,0.38
59384.6294581983,1220.86,0.39
59384.6306480944,1204.4,0.53
59384.6333777010,1212.4,0.21
59384.5914904468,1191.37,0.6
59384.6465330782,1218.28,0.45
59384.6500363071,1193.51,0.24
59384.6646176032,1202.99,0.65
59373.5956878030,1222.48,0.69
59373.5979591211,1206.01,0.42
59373.5981310917,1201.67,0.38
59373.6020685605,1231.11,0.46
59373.6024451120,1229.56,0.4
59373.6028841527,1202.47,0.3
59373.6052884124,1204.0,0.28
59373.6072687276,1224.39,0.42
59373.6072690031,1224.39,0.42
59373.6076421224,1208.04,0.51
59373.6092077267,1196.57,0.41
59373.5838717104,1194.96,0.45
59373.6099189906,1210.94,0.55
59373.6101602727,1202.41,0.22
59373.6097061918,1203.89,0.36
59373.6119604420,1209.63,0.19
59373.6132582173,1205.6,0.28
59373.6134620465,1224.71,0.35
59373.6158102326,1208.87,0.49
59373.6150713389,1196.82,0.21
59373.6169866773,1215.48,0.69
59373.6186719499,1210.98,0.32
59373.6197510004,1202.76,0.28
59373.6201633430,1209.68,0.28
59373.6192861348,1217.15,0.23
59373.6191020361,1204.63,0.29
59373.6214299823,1205.75,0.41
59373.6218976407,1212.69,0.22
59373.6229176433,1214.33,0.36
59373.5850684017,1217.49,0.47
59373.5852747021,1210.25,0.44
59373.6236883589,1190.45,0.39
59373.6265007697,1217.79,0.56
59373.6315025370,1215.17,0.32
59373.6345711752,1220.0,0.3
59373.6365923377,1228.24,0.4
59373.5872505665,1226.53,0.55
59373.6382490036,1229.03,0.47
59373.6388043999,1201.57,0.55
59373.6423418338,1214.83,0.28
59373.6439084083,1201.79,0.46
59373.6427697294,1200.45,0.35
59373.6440640982,1212.57,0.35
59373.6448700063,1218.63,0.47
59373.6442020997,1204.9,0.19
59373.6442021552,1204.9,0.19
59373.6456917126,1206.88,0.41
59373.6456921157,1204.07,0.4
59373.5877579366,1201.28,0.41
59373.6521955553,1210.45,0.64
59373.6527697290,1211.44,0.47
59373.6526363122,1208.22,0.29
59373.6575778495,1205.51,0.37
59373.6589247000,1221.29,0.35
59373.6613604095,1200.61,0.38
59373.6609038940,1203.43,0.36
59373.6621657088,1225.79,0.33
59373.6633856556,1205.9,0.43
59373.5895305270,1205.33,0.31
59373.5897958388,1209.64,0.23
59373.6653132433,1229.47,0.43
59373.6660004684,1209.81,0.32
59373.5916443999,1193.65,0.32
59373.5933619585,1219.03,0.43
59373.5934607981,1230.91,0.58
59373.5939531716,1208.85,0.4
59400.4225401029,1202.32,0.43
59400.4294084405,1206.57,0.33
59400.4348331362,1205.66,0.2
59400.4337243184,1209.22,0.28
59400.4408172622,1209.02,0.3
59400.4736373893,1211.02,0.19
59400.4736886456,1215.32,0.57
59400.4786563295,1206.41,0.22
59453.2009179602,1213.82,0.38
59481.2794162788,1193.39,0.55
59481.3165300471,1199.85,0.39
59481.3307290648,1184.78,0.27
59562.9907597572,1195.91,0.26
59562.9912788861,1195.27,0.68
59562.9999439222,1195.62,0.21
59574.9815491667,1186.5,0.32
59574.9831980626,1191.22,0.32
59574.9945700731,1186.81,0.2
59575.0300177670,1193.71,0.32
59575.0354346287,1191.38,0.46
59574.9781089355,1200.93,0.24
59588.8344457013,1186.02,0.18
59588.8524971994,1181.6,0.17
59588.8583910781,1190.55,0.3
59588.8665026800,1184.23,0.3
59588.8742191064,1185.0,0.41
59588.8947177502,1176.47,0.23
59588.9040644909,1183.0,0.46
59588.9035810742,1201.93,0.27
59588.9067463214,1186.39,0.23
59588.9117617914,1197.53,0.47
59588.9244279910,1188.48,0.46
